AreaID,Max EER,Min Elec,Min Gas,Min Emissions
79,74.45454545454545,4072.974644374545,2715.3164295830306,2951.941460087879
80,79.39393939393939,3682.1251217636363,2454.7500811757573,2188.459553433333
81,78.84848484848484,2634.6663497945456,1756.4442331963635,1940.6947833442425
82,76.72727272727272,3714.7616282181816,2476.507752145455,2422.237982927273
83,76.4848484848485,2732.3089088036363,1821.539272535758,2152.1455791151516
84,78.15151515151516,3044.4536809181823,2029.635787278788,2057.1982436606063
85,76.03030303030302,3383.9001283636367,2255.9334189090914,2440.7660154666673
86,78.3939393939394,2370.9486264145453,1580.6324176096973,1967.1063543975754
87,81.63636363636363,2973.0090528563637,1982.0060352375756,1860.926184724849
88,77.03030303030303,2774.7868097799997,1849.8578731866671,2239.8274763696977
89,80.48484848484848,3362.642427357272,2241.761618238182,2085.6132688590915
90,77.63636363636363,3564.327235181819,2376.2181567878783,2250.176213312121
91,76.54545454545456,4187.868210447274,2791.9121402981823,2776.3816496030304
92,75.36363636363637,3225.2642542472727,2150.176169498182,2379.213275839394
93,77.84848484848483,4250.769155682,2833.846103788,2485.939230254243
94,76.87878787878788,2551.580841042182,1701.0538940281215,1998.8018906348486
95,79.57575757575758,2722.0847327490906,1814.7231551660602,1861.3075704454548
96,78.9090909090909,2306.94210768,1537.9614051200008,1829.3578987333342
97,81.00000000000001,2663.93879564,1775.9591970933336,1860.155609152121
98,77.60606060606061,2838.7296569290916,1892.4864379527273,2134.967294618182
99,73.60606060606061,3817.255975236364,2544.837316824242,2743.992013515151
100,74.84848484848483,3685.0377580436366,2456.6918386957577,2601.2469106818185
101,80.15151515151516,3061.9227372247274,2041.281824816485,1955.1225179418182
102,76.57575757575758,3208.9783836672727,2139.318922444849,2195.4104494303033
103,75.93939393939392,3496.7789602363637,2331.1859734909085,2408.985941951516
104,75.6060606060606,3306.0943776230897,2204.0629184153945,2296.507677030788
105,77.93939393939394,3836.952993514545,2557.9686623430293,2274.6017113700004
106,76.09090909090908,3422.0292965527265,2281.3528643684845,2467.5652510666673
107,79.42424242424241,2863.4476665309094,1908.965111020606,1934.8298612636363
108,81.09090909090911,2745.614524587273,1830.409683058182,1853.6928334272725
109,78.24242424242422,4299.322454378182,2866.2149695854555,2528.1932915760613
110,75.45454545454545,3488.1236493854553,2325.4157662569696,2714.08623969394
111,77.33333333333334,3970.6081723992725,2647.072114932849,2562.6769375793942
112,75.72727272727272,3588.690906107273,2392.4606040715157,2271.4594459212126
113,75.75757575757578,3192.3902058545455,2128.260137236364,2373.6143132666666
114,79.03030303030303,3406.716927218182,2271.144618145455,2343.4974655518186
115,77.84848484848484,2774.155826622001,1849.4372177480002,2261.7864282806063
116,81.54545454545455,2586.8896834509083,1724.5931223006066,1892.2939945
117,79.72727272727273,3420.850708794546,2280.567139196364,2235.7804247554545
118,77.87878787878788,3533.596260327273,2355.7308402181825,2223.190948679091
119,77.78787878787878,3272.4630403927267,2181.642026928485,2243.5822222242427
120,77.3939393939394,2964.7309583636365,1976.4873055757578,2105.7292376242426
121,80.33333333333334,2186.179545003455,1457.453030002303,1804.411039817273
122,79.33333333333333,3392.748230952728,2261.8321539684857,2139.715425610303
123,73.6060606060606,4122.438345236364,2748.292230157576,2539.694235678788
124,80.45454545454547,3166.2246260683637,2110.816417378909,2047.3582329903031
125,79.54545454545456,2398.048423514546,1598.6989490096973,1886.2388293333338
126,76.42424242424242,3966.4337871854545,2644.28919145697,2378.4704943069696
127,81.39393939393939,2346.282476212727,1564.1883174751515,1657.2439668333334
128,74.69696969696972,3041.789212963636,2027.8594753090913,2296.300451018182
129,76.51515151515152,2844.596689983637,1896.3977933224246,2171.2595808672727
130,79.15151515151516,2503.2109391672,1668.8072927781336,2011.540982849334
131,76.72727272727272,3673.998286423636,2449.332190949091,2441.8227703999996
132,80.69696969696972,3076.9128374036363,2051.275224935758,2037.2609788696968
133,79.5151515151515,3130.827244494545,2087.218162996364,2188.7016539003025
